,Date,News_Source,Tweet_Number,compound,neg,neu,pos
343,2017-12-08,@FoxNews,57,-0.6705,0.231,0.769,0.0
344,2017-12-08,@FoxNews,56,0.4019,0.0,0.856,0.144
345,2017-12-08,@FoxNews,55,-0.2263,0.16,0.84,0.0
346,2017-12-08,@FoxNews,54,0.8126,0.0,0.517,0.483
347,2017-12-08,@FoxNews,53,0.6249,0.0,0.823,0.177
348,2017-12-08,@FoxNews,52,-0.5267,0.207,0.793,0.0
349,2017-12-08,@FoxNews,51,-0.5859,0.213,0.787,0.0
350,2017-12-08,@FoxNews,50,0.0,0.0,1.0,0.0
351,2017-12-08,@FoxNews,49,0.3818,0.0,0.833,0.167
352,2017-12-08,@FoxNews,48,0.2732,0.0,0.92,0.08
353,2017-12-08,@FoxNews,47,0.6582,0.0,0.796,0.204
354,2017-12-08,@FoxNews,46,0.4939,0.0,0.802,0.198
355,2017-12-08,@FoxNews,45,0.0,0.0,1.0,0.0
356,2017-12-08,@FoxNews,44,0.0,0.0,1.0,0.0
357,2017-12-08,@FoxNews,43,0.0,0.0,1.0,0.0
358,2017-12-08,@FoxNews,42,0.0,0.0,1.0,0.0
359,2017-12-08,@FoxNews,41,-0.6124,0.25,0.75,0.0
360,2017-12-08,@FoxNews,40,0.4019,0.0,0.847,0.153
361,2017-12-08,@FoxNews,39,0.0,0.0,1.0,0.0
362,2017-12-08,@FoxNews,38,0.6597,0.0,0.759,0.241
363,2017-12-08,@FoxNews,37,0.5267,0.05,0.798,0.151
364,2017-12-08,@FoxNews,36,0.0,0.0,1.0,0.0
365,2017-12-08,@FoxNews,35,-0.2263,0.257,0.588,0.155
366,2017-12-08,@FoxNews,34,-0.6908,0.305,0.695,0.0
367,2017-12-08,@FoxNews,33,0.0,0.0,1.0,0.0
368,2017-12-08,@FoxNews,32,0.6996,0.0,0.676,0.324
369,2017-12-08,@FoxNews,31,0.0,0.0,1.0,0.0
370,2017-12-08,@FoxNews,30,-0.5423,0.156,0.844,0.0
371,2017-12-08,@FoxNews,29,0.4588,0.0,0.85,0.15
372,2017-12-08,@FoxNews,28,-0.0258,0.18,0.687,0.133
373,2017-12-08,@FoxNews,27,-0.6705,0.231,0.769,0.0
